invoice_id,customer,issue_date,due_date,amount,status,paid_date
INV-1001,Northstar Retail,2026-03-08,2026-04-07,142266.83,paid,2026-04-13
INV-1013,Nimbus Media,2026-03-08,2026-04-07,67994.15,paid,2026-04-12
INV-1007,UrbanCart,2026-03-08,2026-04-07,79113.88,paid,2026-04-26
INV-1010,GreenGrid Energy,2026-03-08,2026-04-07,116017.24,paid,2026-04-04
INV-1004,BluePeak Labs,2026-03-08,2026-04-07,87583.99,paid,2026-04-19
INV-1005,BluePeak Labs,2026-04-08,2026-05-08,157041.77,paid,2026-05-17
INV-1008,UrbanCart,2026-04-08,2026-05-08,126154.16,paid,2026-05-26
INV-1011,GreenGrid Energy,2026-04-08,2026-05-08,139433.08,paid,2026-05-05
INV-1002,Northstar Retail,2026-04-08,2026-05-08,73823.17,paid,2026-05-09
INV-1014,Nimbus Media,2026-04-08,2026-05-08,96745.71,paid,2026-05-14
INV-1016,UrbanCart,2026-05-06,2026-06-05,185000.0,overdue,
INV-1006,BluePeak Labs,2026-05-08,2026-06-07,70109.24,paid,2026-06-14
INV-1003,Northstar Retail,2026-05-08,2026-06-07,146829.01,paid,2026-06-13
INV-1009,UrbanCart,2026-05-08,2026-06-07,108164.64,paid,2026-06-18
INV-1012,GreenGrid Energy,2026-05-08,2026-06-07,132593.32,paid,2026-06-08
INV-1015,Nimbus Media,2026-05-08,2026-06-07,106301.32,paid,2026-06-11
INV-1017,BluePeak Labs,2026-06-13,2026-07-13,120000.0,overdue,
INV-1018,Northstar Retail,2026-06-24,2026-07-24,90000.0,open,
INV-1019,Nimbus Media,2026-06-30,2026-07-30,145000.0,open,
INV-1020,GreenGrid Energy,2026-07-14,2026-08-13,70000.0,open,
