date,description,amount,category,account
2026-03-22,Opening balance,700000.0,Opening balance,Operating
2026-03-23,Daily operating costs,-2516.64,Operations,Operating
2026-03-24,Daily operating costs,-3292.1,Operations,Operating
2026-03-25,Client payment,63854.25,Sales,Operating
2026-03-25,Daily operating costs,-3483.42,Operations,Operating
2026-03-26,Daily operating costs,-1584.34,Operations,Operating
2026-03-27,Daily operating costs,-2312.39,Operations,Operating
2026-03-30,Daily operating costs,-3131.6,Operations,Operating
2026-03-31,Daily operating costs,-2530.24,Operations,Operating
2026-04-01,Client payment,44065.48,Sales,Operating
2026-04-01,Daily operating costs,-1391.45,Operations,Operating
2026-04-01,Office rent,-45000.0,Rent,Operating
2026-04-02,Daily operating costs,-3094.99,Operations,Operating
2026-04-03,Daily operating costs,-2263.58,Operations,Operating
2026-04-05,Payroll,-185000.0,Payroll,Operating
2026-04-06,Daily operating costs,-3879.36,Operations,Operating
2026-04-07,Daily operating costs,-1783.92,Operations,Operating
2026-04-08,Daily operating costs,-1331.41,Operations,Operating
2026-04-09,Client payment,50103.3,Sales,Operating
2026-04-09,Daily operating costs,-3434.29,Operations,Operating
2026-04-10,Daily operating costs,-2177.48,Operations,Operating
2026-04-12,Software subscriptions,-18000.0,Software,Card
2026-04-13,Daily operating costs,-2608.67,Operations,Operating
2026-04-14,Client payment,24106.31,Sales,Operating
2026-04-14,Daily operating costs,-2627.11,Operations,Operating
2026-04-15,Client payment,49481.26,Sales,Operating
2026-04-15,Daily operating costs,-2511.46,Operations,Operating
2026-04-16,Daily operating costs,-3300.8,Operations,Operating
2026-04-17,Daily operating costs,-3696.78,Operations,Operating
2026-04-18,GST reserve,-30000.0,Tax reserve,Operating
2026-04-20,Daily operating costs,-2362.44,Operations,Operating
2026-04-21,Daily operating costs,-3247.49,Operations,Operating
2026-04-22,Client payment,27395.69,Sales,Operating
2026-04-22,Daily operating costs,-1222.09,Operations,Operating
2026-04-23,Daily operating costs,-3194.55,Operations,Operating
2026-04-24,Daily operating costs,-3542.19,Operations,Operating
2026-04-27,Daily operating costs,-2906.22,Operations,Operating
2026-04-28,Client payment,23382.91,Sales,Operating
2026-04-28,Daily operating costs,-3205.21,Operations,Operating
2026-04-29,Daily operating costs,-2895.71,Operations,Operating
2026-04-30,Daily operating costs,-3104.15,Operations,Operating
2026-05-01,Daily operating costs,-2877.62,Operations,Operating
2026-05-01,Office rent,-45000.0,Rent,Operating
2026-05-04,Daily operating costs,-1292.45,Operations,Operating
2026-05-05,Payroll,-185000.0,Payroll,Operating
2026-05-05,Daily operating costs,-1843.75,Operations,Operating
2026-05-06,Daily operating costs,-3760.21,Operations,Operating
2026-05-07,Client payment,20740.23,Sales,Operating
2026-05-07,Daily operating costs,-2044.15,Operations,Operating
2026-05-08,Daily operating costs,-3185.75,Operations,Operating
2026-05-11,Daily operating costs,-3551.69,Operations,Operating
2026-05-12,Daily operating costs,-2419.16,Operations,Operating
2026-05-12,Software subscriptions,-18000.0,Software,Card
2026-05-13,Daily operating costs,-1700.92,Operations,Operating
2026-05-14,Client payment,22232.25,Sales,Operating
2026-05-14,Daily operating costs,-3367.08,Operations,Operating
2026-05-15,Daily operating costs,-1683.82,Operations,Operating
2026-05-18,Daily operating costs,-1656.94,Operations,Operating
2026-05-18,GST reserve,-30000.0,Tax reserve,Operating
2026-05-19,Daily operating costs,-2538.47,Operations,Operating
2026-05-20,Daily operating costs,-2104.54,Operations,Operating
2026-05-21,Daily operating costs,-2285.44,Operations,Operating
